Title,Link,Abstract,Authors,Journal,Year,Citations,SearchTerm,
Phenology and CO2-assimilation of trees in Central Amazonian floodplains,https://www.cambridge.org/core/journals/journal-of-tropical-ecology/article/phenology-and-co2assimilation-of-trees-in-central-amazonian-floodplains/795E6764982FD645C6D5D2F443E525A9,"… that occur with flooding of the roots and stems are lacking. The aim … Suitable parameters for 
this analysis include vegetative phenology … Timing and seasonal variation of phenology and …",P Parolin,Journal of Tropical Ecology,2000,93,roots AND phenology,
The relationship between fine root demography and the soil environment in northern hardwood forests,https://www.tandfonline.com/doi/abs/10.1080/11956860.1997.11682383,"… We chose these two increments because we knew that they differ with respect to root 
phenology and survivorship, but the dynamics of roots that we have previously observed within …","RL Hendrick, KS Pregitzer",Ecoscience,1997,92,roots AND phenology,
Hass' avocado carbohydrate fluctuations. I. Growth and phenology,https://www.avocadosource.com/Journals/ASHS/ASHS_1999_124_6_PG_671-675.pdf,"… analyze seasonal patterns of starch and soluble sugar concentrations of ‘Hass’ avocado, 
to determine the relationship between stored carbohydrate reserves and known phenological …","X Liu, PW Robinson, MA Madore…",Journal of the …,1999,91,roots AND phenology,
The distribution and phenology of arbuscular mycorrhizae along an inland salinity gradient,https://cdnsciencepub.com/doi/abs/10.1139/b95-143,"… The only common pattern in the phenology of mycorrhizal … be linked to differences in phenology 
of root growth, and not … ship between mycorrhizal phenology and host phenology, which …",PC Johnson,"Green, NC Kenkel… - Canadian Journal of …",1995,90,roots AND phenology,
The plant phenology monitoring design for the National Ecological Observatory Network,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/ecs2.1303,"… degree to which plant phenological status is broadly indicative of related ecosystem processes 
for which continent-wide data are sparse, such as below-ground phenology, carbon flux, …","SC Elmendorf, KD Jones, BI Cook, JM Diez…",…,2016,90,belowground AND phenology,
Urban vs. natural sugar maple growth: I. Stress symptoms and phenology in relation to site characteristics,https://auf.isa-arbor.com/content/22/3/144,"… root volume of seedlings were reduced by 93%, compared to seedlings grown in noncompacted 
soil (2). The root growth and the root … is 1.80 gm/cm 3 , roots are likely to be unable to …","RE Close, PV Nguyen, JJ Kielbaso",Arboriculture & Urban …,1996,89,roots AND phenology,
Delayed reproduction in Arabidopsis thaliana improves fitness in soil with suboptimal phosphorus availability,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-3040.2008.01857.x,"… We hypothesize that phenological delay in low P is beneficial by … of Arabidopsis thaliana 
with contrasting phenology in high and … We estimated total root length from specific root length (…","EA Nord, JP Lynch","Plant, Cell & Environment",2008,88,roots AND phenology,
Phenology and morphological diversity of sweet potato (Ipomoea batatas) landraces of the Vale do Ribeira,https://www.scielo.br/j/sa/a/6zRPb5VH7tQMRJXMFPYYqzS/?lang=en,"… phenological and floral descriptors, nine morphological vegetative aerial descriptors and 
five storage root … The considerable variability observed in this study in the phenology of the …","EA Veasey, JRQ Silva, MS Rosa, A Borges…",Scientia …,2007,87,roots AND phenology,
"Plant physiognomy, phenology and demography",https://researchspace.csir.co.za/dspace/bitstream/handle/10204/2372/SANSP%20142.pdf?sequence=1#page=8,"… possess a thin, fibrots to fleshy, undivided tap root with a few short primary latera i roots 
evrenly distributed a iong the length of the root „Root depths were normally in excess of 0, 3 m, …","MT Hoffman, RM Cowling",The Karoo biome: a …,1987,85,roots AND phenology,
Control of scion vigour by kiwifruit rootstocks is correlated with spring root pressure phenology,https://academic.oup.com/jxb/article-abstract/58/7/1741/515561,"… phenology of shoot growth therefore does not appear to be a useful indication of root phenology 
… The temporal mismatch between shoot and root activity may be related to differences …","MJ Clearwater, P Blattmann, Z Luo…",Journal of Experimental …,2007,82,roots AND phenology,
Machine learning for high-throughput field phenotyping and image processing provides insight into the association of above and below-ground traits in cassava …,https://link.springer.com/article/10.1186/s13007-020-00625-1,"… In this paper, canopy metrics such as CCuav and CVuav across the phenological stages 
showed positive significant relationship with AGB. During the trial one and two, significant …","MG Selvaraj, M Valderrama, D Guzman, M Valencia…",Plant methods,2020,81,belowground AND phenology,
The phenology of fine root growth in a maple-dominated ecosystem: relationships with some soil properties,https://link.springer.com/article/10.1023/A:1004351705516,"… roots sampled in May 1994 would be roots produced in the weeks preceding that sampling. 
For the purpose of comparing fine root … DJ 1994 Fine root growth phenology, production and …","B Côté, WH Hendershot, JW Fyles, AG Roy, R Bradley…",Plant and Soil,1998,80,roots AND phenology,
Effects of morphactin and paclobutrazol flowering treatments on shoot and root phenology in mango cv. Kensington Pride,https://www.sciencedirect.com/science/article/pii/S0304423803001778,"… between shoot and root phenology was studied in control … literature and references to root 
phenology in relation to the … that M affected the timing of root phenological events. Rather, …","SJ Blaikie, VJ Kulkarni, WJ Müller",Scientia Horticulturae,2004,80,roots AND phenology,
"Seasonal trends of Amazonian rainforest phenology, net primary productivity, and carbon allocation",https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1002/2015gb005270,"… In the dry sites, we observe constant allocation to roots (eg, ~30% allocation to NPP Fine 
roots throughout the year in KEN-01 and KEN-02) and a seasonal trade-off between NPP ACW …","CAJ Girardin, Y Malhi, CE Doughty…",Global …,2016,80,roots AND phenology,
"Seasonal root growth of Scots pine seedlings in relation to shoot phenology, carbohydrate status, and nutrient supply",https://cdnsciencepub.com/doi/abs/10.1139/x01-094,"… of whether root growth is related to aboveground phenology and whether competition 
between various sinks results in a different seasonal growth rhythm in the root system compared …","S Iivonen, R Rikala…",Canadian Journal of Forest …,2001,78,roots AND phenology,
Developmental stages (phenology),https://onlinelibrary.wiley.com/doi/abs/10.1002/9781118771280.ch3,"… of the entire plant and its organs (phenology) so that plant sampling for … The ten stages of 
phenology to describe the rate of … known about sugarcane root and root system development. …",GD Bonnett,"Sugarcane: physiology, biochemistry, and …",2013,78,roots AND phenology,
Four ways to define the growing season,https://onlinelibrary.wiley.com/doi/abs/10.1111/ele.14260,"… employ the term phenological season when referring to a timeframe based on phenological 
… growing season’ does not account for actual growth, biomass production and belowground …","C Körner, P Möhl, E Hiltbrunner",Ecology Letters,2023,77,belowground AND phenology,
The effect of water stress on phenological and ecophysiological characteristics of cheatgrass and Sandberg's bluegrass.,https://journals.uair.arizona.edu/index.php/jrm/article/download/8537/8149,"… phenological development in these 2 species, but does not prevent senescence. Availability 
of soil water, root factors, and phenology … Root phenology as a factor of competition among …","SO Link, GW Gee, JL Downs",Rangeland Ecology & …,1990,76,roots AND phenology,
"Vertical distribution and seasonal pattern of fine-root dynamics in a cool–temperate forest in northern Japan: implication of the understory vegetation, Sasa dwarf …",https://link.springer.com/article/10.1007/s11284-006-0031-y,"… Thus, the relationship between fine-root production and leaf phenology of Sasa in this 
study suggests the importance of internal carbohydrate supplies provided by Sasa leaves in …","K Fukuzawa, H Shibata, K Takagi, F Satoh, T Koike…",Ecological …,2007,76,roots AND phenology,
Phenology shift from 1989 to 2008 on the Tibetan Plateau: an analysis with a process-based soil physical model and remote sensing data,https://link.springer.com/article/10.1007/s10584-013-0722-7,"… Phenology is critical to ecosystem carbon quantification, and yet has not been well modeled 
considering both aboveground and belowground … the timing of phenology. Here we examine …","Z Jin, Q Zhuang, JS He, T Luo, Y Shi",Climatic Change,2013,76,belowground AND phenology,
Plant phenology and genetic variability in root and nodule development strongly influence genetic structuring of Rhizobium leguminosarum biovar viciae populations …,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.2008.02430.x,"… Therefore, quantitative and qualitative differences in rhizodeposits in relation to root location, 
soil type, plant species and genotypes, plant phenology and other environmental factors …","G Depret, G Laguerre",New Phytologist,2008,75,roots AND phenology,
Functional trait dissimilarity drives both species complementarity and competitive disparity,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2435.12945,"… of dissimilarity in phenological, above-ground, and below-ground traits among species by 
… with the trait dissimilarity in only phenological, above-ground, or below-ground traits. Finally, …","C Wagg, A Ebeling, C Roscher, J Ravenek…",Functional …,2017,75,belowground AND phenology,
Plant odor analysis of potato: response of Guatemalan moth to above-and belowground potato volatiles,https://pubs.acs.org/doi/abs/10.1021/jf803730h,"… We here report a comparative analysis of the volatiles from different phenological stages 
of potato and from fresh tubers toward an identification of the behaviorally active compounds. …","MF Karlsson, G Birgersson…",Journal of agricultural …,2009,75,belowground AND phenology,
A phenological scale for the development of Gladiolus,https://onlinelibrary.wiley.com/doi/abs/10.1111/aab.12198,"… Filiform roots are active until V4 and contractile roots start to grow from that stage. Cormels 
usually start their growth at R1 (it may vary among genotypes) and represent about 2% of the …","NT Schwab, NA Streck, CC Becker…",Annals of Applied …,2015,74,roots AND phenology,
Changing sink strengths influence translocation of phosphonate in avocado (Persea americana Mill.) trees,https://www.publish.csiro.au/cp/AR9951079,"… phases of tree phenology during spring and summer, thereby spanning the fluctuating 
relationships between shoot and root growth (Fig. 4). During each phenology phase, three trees …","AW Whiley, PA Hargreaves, KG Pegg…",Australian Journal of …,1995,73,roots AND phenology,
Seasonality of fine root dynamics and activity of root and shoot vascular cambium in a Quercus ilex L. forest (Italy),https://www.sciencedirect.com/science/article/pii/S0378112718301324,"… overlap of fine root phenology with seasonal activity of shoot and root vascular cambia. Our 
… and fine roots phenology are interrelated, but the variation in fine root morphology suggests …","A Montagnoli, RK Dumroese, M Terzaghi…",Forest Ecology and …,2019,73,roots AND phenology,
Comparing growth phenology of co-occurring deciduous and evergreen conifers exposed to drought,https://www.sciencedirect.com/science/article/pii/S0367253013001011,"… Different sequences in aboveground growth phenology were … competition for carbohydrates 
to belowground organs. This is … Phenological observations of conifers exposed to drought …","I Swidrak, R Schuster, W Oberhuber","Flora-Morphology, Distribution …",2013,72,belowground AND phenology,
Root-derived respiration and nitrous oxide production as affected by crop phenology and nitrogen fertilization,https://link.springer.com/article/10.1007/s11104-009-0018-x,"… 15 N content in soybean was not affected by phenology. A peak in N 2 O production was … 
roots supported the reduction of N 2 O to dinitrogen (N 2 ). We conclude that crop phenology …","BK Sey, AM Manceur, JK Whalen, EG Gregorich…",Plant and Soil,2010,71,roots AND phenology,
Comparative phenology of four Mediterranean shrub species growing in Portugal,https://link.springer.com/chapter/10.1007/978-3-642-70868-8_33,"… phenology of woody plants is essential in order to understand their above- and belowground 
… has been devoted to the study of phenology of mediterranean-type plant communities (see …","JS Pereira, G Beyschlag, OL Lange…",Plant response to stress …,1987,70,belowground AND phenology,
Seasonal patterns of root growth in relation to shoot phenology in grape and apple,https://www.actahort.org/books/721/721_1.htm,"… bimodal or that a fall flush of roots is common was found. There are few consistent patterns 
when roots grow relative to shoot phenology. Roots typically did not grow near harvest time …","DM Eissenstat, TL Bauerle, LH Comas…",… Symposium on Mineral …,2005,69,roots AND phenology,
"Fall fertilization of Holm oak affects N and P dynamics, root growth potential, and post-planting phenology and growth",https://link.springer.com/article/10.1007/s13595-011-0060-8,"… A monthly estimation of phenology state and survival was done on all plants. We used 
five phenological states to characterize the development stage (0—plants with leaf buds; 1—…","JA Oliet, JM Salazar, R Villar, E Robredo…",Annals of forest …,2011,69,roots AND phenology,
Temperature dependent models to predict regional differences in corn rootworm (Coleoptera: Chrysomelidae) phenology,https://academic.oup.com/ee/article-abstract/25/4/767/2394859,"… , cause significant lodging and losses in yield by destroying corn roots. Accurate predictions 
of rootworm phenology are essential to increase sampling efflciency, optimize timing of …","PM Davis, N Brenes, LL Allee",Environmental Entomology,1996,68,roots AND phenology,
Optimizing chickpea phenology to available water under current and future climates,https://www.sciencedirect.com/science/article/pii/S1161030111001274,"… phenology. Duration of leaf production and root development is determined by phenology 
… Or, crop root development commences at crop emergence and terminates at R5. Thus, an …","A Soltani, TR Sinclair",European journal of agronomy,2012,68,roots AND phenology,
Influence of physiological phenology on the seasonal pattern of ecosystem respiration in deciduous forests,https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.12671,"… the relevance of physiological phenology, defined as seasonal … root-derived carbon to 
soil respiration in a cool-temperate deciduous forest varied according to vegetation phenology…","M Migliavacca, M Reichstein…",Global Change …,2015,68,roots AND phenology,
"Contrasting adaptive strategies to terminal drought-stress gradients in Mediterranean legumes: phenology, productivity, and water relations in wild and domesticated …",https://academic.oup.com/jxb/article-abstract/65/21/6219/608976,"Our understanding of within-species annual plant adaptation to rainfall gradients is fragmented. 
Broad-scale ecological applications of Grime’s CSR triangle are often superficial, while …","JD Berger, C Ludwig",Journal of Experimental Botany,2014,68,belowground AND phenology,
Phenology and growth cycle of annual subtidal eelgrass in a subtropical locality,https://www.sciencedirect.com/science/article/pii/S0304377099000820,"… This study describes the phenology, life cycle and reproductive … below-ground biomass 
was low (26 g DW m −2 ). Annual plants allocate significantly less biomass to below-ground …",NA Santamarı́a,"Gallegos, JL Sánchez-Lizaso… - Aquatic Botany",2000,67,belowground AND phenology,
Characterization of root and shoot traits in wheat cultivars with putative differences in root system size,https://www.mdpi.com/2073-4395/8/7/109,"… at later phenological stages in … Phenology and shoot traits were measured and root growth 
and proliferation were mapped to quantify root length density (RLD), root length per plant, root …",V Figueroa,"Bustos, JA Palta, Y Chen, KHM Siddique - Agronomy",2018,66,roots AND phenology,
"Growth, shoot phenology and physiology of diverse seed sources of black spruce: I. Seedling responses to varied atmospheric CO2 concentrations and photoperiods",https://academic.oup.com/treephys/article-abstract/16/3/367/1690363,"… We conclude that the large differences in physiology, phenology and growth among … on 
root Rd. Because there was no relationship between root Rd and root size when only partial root …","KH Johnsen, JR Seiler",Tree Physiology,1996,66,roots AND phenology,
Glucosinolate profile and distribution among plant tissues and phenological stages of field-grown horseradish,https://www.sciencedirect.com/science/article/pii/S0031942214002702,"… The GLS profile varied widely in the different tissues: we identified 17 GLS in roots and 
sprouts, one of which was not previously characterized in horseradish, ie the 2(S)-hydroxy-2-…","R Agneta, F Lelario, S De Maria, C Möllers, SA Bufo…",Phytochemistry,2014,66,roots AND phenology,
Contrasting synchrony in root and leaf phenology across multiple sub‐Arctic plant communities,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.12506,"… Our findings suggest that woody plants create a more concentrated late season below-ground 
carbon flux than graminoids, such that the majority of new root growth in woody plants …","VL Sloan, BJ Fletcher, GK Phoenix",Journal of Ecology,2016,66,belowground AND phenology,
Comparative patterns of phenology and growth form diversity in two winter rainfall deserts: the Succulent Karoo and Mojave Desert ecosystems,https://link.springer.com/article/10.1023/A:1009830513525,"… These communities have low structural diversity above-ground, but also below-ground, 
where root systems commonly do not exceed 20 cm in depth. These shallow root systems …","KJ Esler, PW Rundel",Plant Ecology,1999,66,belowground AND phenology,
"Plant population and row spacing effects on corn: Plant growth, phenology, and grain yield",https://acsess.onlinelibrary.wiley.com/doi/abs/10.1002/agj2.20245,"… root biomass per hectare tended to decrease. On average, root weight per plant and root … 
the planting population and row spacing than the shoot phenology. Increased plant-to-plant …","BJ Bernhard, FE Below",Agronomy Journal,2020,65,roots AND phenology,
"Root Growth Phenology, Root Longevity, and Rhizosphere Respiration of Field GrownMutsu'Apple Trees onMalling 9'Rootstock",https://www.researchgate.net/profile/Ian-Merwin/publication/279508679_Root_Growth_Phenology_Root_Longevity_and_Rhizosphere_Respiration_of_Field_Grown_Mutsu'_Apple_Trees_on_Malling_9'_Rootstock/links/56551f5708aeafc2aabc33e0/Root-Growth-Phenology-Root-Longevity-and-Rhizosphere-Respiration-of-Field-Grown-Mutsu-Apple-Trees-on-Malling-9-Rootstock.pdf,"… Considering the paucity of data on root phenology and physiology in situ, the objectives 
of this study were to determine root emergence, senescence, and turnover rates of field-grown …","G Psarras, IA Merwin, AN Lakso…",JOURNAL-AMERICAN …,2000,64,roots AND phenology,
Fructose‐containing carbohydrates in the tuberous root of Gomphrena macrocephala St.‐Hil. (Amaranthaceae) at different phenological phases,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-3040.1993.tb00515.x,"… phenological phases throughout the year. Soluble carbohydrates are the main reserve 
compounds of the tuberous root … Fructan spherocrystals were detected in the tuberous root after …",CCJ Vieira…,"Plant, Cell & Environment",1993,64,roots AND phenology,
"Root-zone temperatures affect phenology of bud break, flower cluster development, shoot extension growth and gas exchange of 'Braeburn' (Malus domestica) apple …",https://academic.oup.com/treephys/article-abstract/26/1/105/1676148,"… , undisturbed roots. … root-zone temperatures on bud break, floral phenology and shoot 
extension growth. A second objective was to assess the effect of rootzone temperature on root-…","DH Greer, JN Wünsche, CL Norling…",Tree …,2006,63,roots AND phenology,
"Phenology, Pathogenicity and Pathotypes of Cereal Cyst Nematodes, Heterodera a Venae and H. Latipons (Nematoda: Heteroderidae) in Israel",https://www.academia.edu/download/114586781/187529292x0046920240515-1-55lfom.pdf,"… The phenology and life cycle of the two species was basically similar: both species … whereas 
Ha attacked the root tip region inducing typical branching and swelling of roots with ensuing …","M Mor, E Cohn, Y Spiegel",Nematologica,1992,63,roots AND phenology,
Early season root production in relation to leaf production among six diverse temperate tree species,https://link.springer.com/article/10.1007/s11104-014-2347-7,"… We hypothesized that patterns of early season root phenology would follow patterns of leaf 
phenology. That is, we expected that diffuse-porous species that are characterized by earlier …","ML McCormack, KP Gaines, M Pastore, DM Eissenstat",Plant and Soil,2015,61,roots AND phenology,
Dynamics of phreatophyte root growth relative to a seasonally fluctuating water table in a Mediterranean-type environment,https://link.springer.com/article/10.1007/s00442-012-2381-1,"… root growth dynamics of two Banksia species accessing a seasonally dynamic water table 
and hypothesized that root growth phenology varied with depth, ie root … Root in-growth bags …","CA Canham, RH Froend, WD Stock, M Davies",Oecologia,2012,61,roots AND phenology,
"Relationship of plant phenology to corn yield loss resulting from western corn rootworm (Coleoptera: Chrysomelidae) larval injury, nitrogen deficiency, and high plant …",https://academic.oup.com/jee/article-abstract/82/1/226/2215038,"… the corn plant can tolerate a certain amount of root damage when plant densities are low. A 
… evidence that root injury interferes with nitrogen uptake. The disruption of phenology of the …","BP Spike, JJ Tollefson",Journal of economic entomology,1989,61,roots AND phenology,
Growth and development during the establishment year of two Populus clones with contrasting morphology and phenology,https://academic.oup.com/treephys/article-abstract/4/2/139/1635327,"… ) and most plants in our related studies develop large adventitious root systems. It appears 
that internal aeration and root replacement may be necessary for Populus trees to maintain …","DA Michael, JG Isebrands, DI Dickmann…",Tree …,1988,61,roots AND phenology,
Effects of nutrient management and planting systems on root phenology and grain yield of wheat (Triticum aestivum),https://www.researchgate.net/profile/Anil-Singh-14/publication/236985916_Effects_of_nutrient_management_and_planting_systems_on_root_phenology_and_grain_yield_of_wheat_Triticum_aestivum/links/0deec51ac5310be043000000/Effects-of-nutrient-management-and-planting-systems-on-root-phenology-and-grain-yield-of-wheat-Triticum-aestivum.pdf,"… Better understanding of root system structure and function is critical to crop … root system 
characteristics of wheat genotype under nutrient management and planting systems. Root …","BL Meena, AK Singh, BS Phogat…",Indian Journal of …,2013,59,roots AND phenology,
"A sub-canopy structure for simulating oil palm in the Community Land Model (CLM-Palm): phenology, allocation and yield",https://gmd.copernicus.org/articles/8/3785/2015/,"… A sub-canopy phenological and physiological parameterization is thus introduced so that … 
but with shared stem and root components. Phenology and carbon and nitrogen allocation …","Y Fan, O Roupsard, M Bernoux…",Geoscientific Model …,2015,59,roots AND phenology,
Increasing nitrogen availability and soil temperature: effects on xylem phenology and anatomy of mature black spruce,https://cdnsciencepub.com/doi/abs/10.1139/x2012-055,"… According to Alvarez-Uria and Körner (2007), shoot growth was unaffected by soil temperature, 
contrary to roots that were limited by cold soils. Changes in root phenology may affect …","C Lupi, H Morin, A Deslauriers…",Canadian Journal of …,2012,58,roots AND phenology,
Novel representation of leaf phenology improves simulation of Amazonian evergreen forest photosynthesis in a land surface model,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2018MS001565,"… representation of tropical forest leaf phenology, which links multiple environmental variables 
… phenology should also lead to improved simulation of carbon allocation to stems and roots. …","X Chen, F Maignan, N Viovy, A Bastos…",Journal of Advances …,2020,58,roots AND phenology,
"Phenology, photosynthesis, and phosphorus in European beech (Fagus sylvatica L.) in two forest soils with contrasting P contents",https://onlinelibrary.wiley.com/doi/abs/10.1002/jpln.201500539,"… in soil could influence the phenology of beech. Under … for the phenology, P concentrations 
in leaves, stem and roots, … In the subsequent growth phase, the phenological stages …","N Yang, A Zavišić, R Pena…",Journal of Plant Nutrition …,2016,58,roots AND phenology,
Partitioning of the net CO2 exchange using an automated chamber system reveals plant phenology as key control of production and respiration fluxes in a boreal …,https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.14292,"… /belowground NPP ratios throughout the main phenological … (as a proxy for plant phenology) 
was the strongest control of … detailed information on plant phenology into process-based …","J Järveoja, MB Nilsson, M Gažovič…",Global Change …,2018,58,belowground AND phenology,
Coordination of spring vascular and organ phenology in deciduous angiosperms growing in seasonally cold climates,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.17289,"… Like leaves, some fine roots in cold climates can be short-lived and senesce in the autumn 
… , root phenology can be asynchronous in different parts of the root system depending on root …","JA Savage, I Chuine",New Phytologist,2021,57,roots AND phenology,
"Drought-induced changes in the phenology, productivity and diversity of Spanish fungi",https://www.sciencedirect.com/science/article/pii/S1754504815000331,"… At the same time, the effects of climate variability on fungal ecology and productivity are 
insufficiently understood, because the belowground life cycle of fungi is mediated in many …","U Büntgen, S Egli, JD Galván, JM Diez, J Aldea…",Fungal Ecology,2015,57,belowground AND phenology,
"Leaf Phenology, Growth and Production of the Seagrass Cymodocea nodosa at El Médano (South of Tenerife, Canary Islands)",https://www.degruyter.com/document/doi/10.1515/botm.1995.38.1-6.457/html,"… The above-ground biomass was between 55 and 249g dwm"" 2 and the below-ground one 
varied from 181 to 385 g dwm"" 2. The annual leaf production was 752 g dwm"" 2 year"" 1, with …","J Reyes, M Sansón, J Afonso-Carrillo - 1995 - degruyter.com",,,55,belowground AND phenology,
Restoration of riparian meadows degraded by livestock grazing: above-and belowground responses,https://link.springer.com/article/10.1023/A:1020372220163,"… Belowground response was determined by examining … could be attributed to accelerated 
phenology and earlier senescence. … Clipping had minimal effects on above- and belowground …","D Martin, J Chambers",Plant Ecology,2002,55,belowground AND phenology,
Genetic and phenological variation of tocochromanol (vitamin E) content in wild (Daucus carota L. var. carota) and domesticated carrot (D. carota L. var. sativa),https://academic.oup.com/hr/article-abstract/doi/10.1038/hortres.2014.15/6428133,"… over the postharvest storage period of carrot roots, 30 additional roots from each accession 
in the first block were harvested for storage. These roots were packed in paper bags with …","CH Luby, HA Maeda, IL Goldman",Horticulture Research,2014,54,roots AND phenology,
Population density and spatial pattern of Heterodera glycines in relation to soybean phenology,https://pmc.ncbi.nlm.nih.gov/articles/PMC2618641/,"… endoparasitic species in host roots. Completion of a … root growth patterns and SCN spatial 
patterns, and 3) influence of different initial population densities of SCN on soybean phenology…","DG Alston, DP Schmitt",Journal of Nematology,1987,53,roots AND phenology,
Seasonal phenology of woolly apple aphid (Hemiptera: Aphididae) in Central Washington,https://academic.oup.com/ee/article-abstract/39/2/286/476322,"… However, the peak period of crawler migration was similar for root and aerial colonies. In … 
Overwintering survival was higher on the root colonies than in the aerial colonies in both …","EH Beers, SD Cockfield…",Environmental …,2010,53,roots AND phenology,
Norway maple displays greater seasonal growth and phenotypic plasticity to light than native sugar maple,https://academic.oup.com/treephys/article-abstract/32/11/1339/1646606,"… - and below-ground, seasonal phenology and phenotypic plasticity. Given the north European 
provenance of Norway maple, we also investigated the possibility that its growth in North …","A Paquette, B Fontaine, F Berninger, K Dubois…",Tree …,2012,52,belowground AND phenology,
Methane flux in relation to growth and phenology of a high yielding rice variety as affected by fertilization,https://link.springer.com/article/10.1023/A:1004318727672,"… , and have attempted to correlate the fluxes with shoot and root biomass, shoot height, root 
volume, root porosity, number of tillers, grain yield and phenological stages of the rice crop. …","S Singh, AK Kashyap, JS Singh",Plant and soil,1998,51,roots AND phenology,
"Phenology, starch allocation, and environmental effects on Myriophyllum aquaticum",https://www.sciencedirect.com/science/article/pii/S030437701100091X,"… Stolons accounted for 40–95% of total biomass followed by emergent shoot, submersed 
shoot, and root biomass. Percent starch in plant tissues was positively related to water …","RM Wersal, JC Cheshier, JD Madsen, PD Gerard",Aquatic Botany,2011,51,roots AND phenology,
"Cryptic phenology in plants: Case studies, implications, and recommendations",https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.14759,"… For example, we understand that root phenology is hidden, and difficult to measure, because 
roots are underground. By contrast, we may not even realize that leaf production and loss …","LP Albert, N Restrepo‐Coupe, MN Smith…",Global Change …,2019,50,roots AND phenology,
Water management and phenology influence the root-associated rice field microbiota,https://academic.oup.com/femsec/article-abstract/96/9/fiaa146/5877241,"… flooding regimes and across phenological stages, we confirm our hypothesis that different 
water managements induce compositional and structural shifts in the root and soil microbiota. …","M Chialva, S Ghignone, P Cozzi…",FEMS microbiology …,2020,49,roots AND phenology,
Optimizing reproductive phenology in a two-resource world: a dynamic allocation model of plant growth predicts later reproduction in phosphorus-limited plants,https://academic.oup.com/aob/article-abstract/108/2/391/152909,"… Phosphorus uptake via diffusion is maximized by increasing root exploration … root), and by 
increasing time during which diffusion may occur. The reduction in vegetative (and hence root) …","EA Nord, K Shea, JP Lynch",Annals of botany,2011,49,roots AND phenology,
"Effects of soil properties, nitrogen application, plant phenology, and their interactions on plant uptake of cadmium in wheat",https://www.sciencedirect.com/science/article/pii/S0304389419314062,"… to greater mass flow rate and extensive plant root system under varied N application rates 
as … and its transport from soil solution to plant roots. Additionally, the cytoplasmic proteins in …",ST Ata,"Ul-Karim, L Cang, Y Wang, D Zhou - Journal of hazardous materials",2020,49,roots AND phenology,
Phenological and Phytochemical Changes Correlate with Differential Interactions of Verticillium dahliae with Broccoli and Cauliflower,https://apsjournals.apsnet.org/doi/abs/10.1094/PHYTO-08-10-0219,"… levels in cauliflower roots were 1.53 times higher than in broccoli roots regardless of plant … 
in cauliflower shoots than in broccoli roots at all phenological stages. In the stepwise Poisson …","SMC Njoroge, GE Vallad, SY Park, S Kang…",…,2011,49,roots AND phenology,
Phenology determines water use strategies of three economic tree species in the semi-arid Loess Plateau of China,https://www.sciencedirect.com/science/article/pii/S0168192321004020,"… In this study, we measured variations in soil water content, root distribution, water isotopic … 
The findings suggest differences in phenology periods of the three rainfed economic tree …","W Wu, Z Tao, G Chen, T Meng, Y Li, H Feng…",Agricultural and Forest …,2022,49,roots AND phenology,
"Phenology, growth, and allocation in global terrestrial productivity",https://books.google.com/books?hl=fr&lr=&id=AhGl0iA74kwC&oi=fnd&pg=PA61&dq=roots+AND+phenology&ots=fQ7yNSqaSp&sig=K58lVINbbBV3l3PTEUR5bpq9zwg,"… is belowground phenology, including the seasonal timing of fine root growth. Intimate 
knowledge of phenology was essential in preindustrial societies because phenological events …","RB Jackson, MJ Lechowicz, X Li…",Terrestrial global …,2001,48,roots AND phenology,
Grape root phenology relative to control of parasitic nematodes,https://www.ajevonline.org/content/35/4/206.short,"… root relative to nematode populations. This study was undertaken to elucidate the phenology 
of grapevine root … Attainment of relevant root phenology data is handicapped by several …",MV Mckenry,American journal of enology and viticulture,1984,48,roots AND phenology,
Variability of phenology and fluxes of water and carbon with observed and simulated soil moisture in the Ent Terrestrial Biosphere Model (Ent TBM version 1.0. 1.0. 0),https://gmd.copernicus.org/articles/8/3837/2015/,"… foliage, sapwood, heartwood, fine root and coarse root as well as a reproductive pool 
according to empirical allometric relationships and leaf phenological status. In addition, tissue lost …","Y Kim, PR Moorcroft, I Aleinov…",Geoscientific Model …,2015,48,roots AND phenology,
Below‐ground opportunities in vegetation science,https://onlinelibrary.wiley.com/doi/abs/10.1111/jvs.12168,"… For example, plant species richness below ground is about 50% greater than that above 
ground. Below‐ground plant richness has been measured from only a few sites, and patterns …",SD Wilson,Journal of Vegetation Science,2014,48,belowground AND phenology,
