Title,Link,Abstract,Authors,Journal,Year,Citations,SearchTerm
Links between belowground and aboveground resource-related traits reveal species growth strategies that promote invasive advantages.,https://doi.org/10.1371/journal.pone.0104189,"Belowground processes are rarely considered in comparison studies of native verses invasive species. We examined relationships between belowground fine root production and lifespan, leaf phenology, and seasonal nitrogen dynamics of Lonicera japonica (non-native) versus L. sempervirens (native) and Frangula alnus (non-native) versus Rhamnus alnifolia (native), over time. First and second order fine roots were monitored from 2010 to 2012 using minirhizotron technology and rhizotron windows. 15N uptake of fine roots was measured across spring and fall seasons. Significant differences in fine root production across seasons were seen between Lonicera species, but not between Frangula and Rhamnus, with both groups having notable asynchrony in regards to the timing of leaf production. Root order and the number of root neighbors at the time of root death were the strongest predictors of root lifespan of both species pairs. Seasonal 15N uptake was higher in spring than in the fall, which did not support the need for higher root activity to correspond with extended leaf phenology. We found higher spring 15N uptake in non-native L. japonica compared to native L. sempervirens, although there was no difference in 15N uptake between Frangula and Rhamnus species. Our findings indicate the potential for fast-growing non-native Lonicera japonica and Frangula alnus to outcompete native counterparts through differences in biomass allocation, root turnover, and nitrogen uptake, however evidence that this is a general strategy of invader dominance is limited.","Smith MS, Fridley JD, Goebel M, Bauerle TL",PloS one,2014,,roots AND phenology AND fine roots AND growth
Intra-annual nutrient flux in Pinus taeda.,https://doi.org/10.1093/treephys/tps082,"Intra-annual nutrient (nitrogen, phosphorus, potassium, calcium and magnesium) flux was quantified for Pinus taeda L. at a nutrient-poor, well-drained sandy site in Scotland County, NC, USA where a 2 × 2 factorial of irrigation and nutrition was applied in four replications in a 10-year-old stand with 1200 stems ha(-1). Treatments were applied with the goal of providing optimum nutrition (no nutritional deficiencies) and water availability. Component (foliage, branch, stem and root) nutrient content was estimated monthly for 2 years using nutrient concentration and phenology assessments combined with destructive harvests. Positive flux values indicated nutrient accumulation in the trees while negative values indicated nutrient loss from the trees. Fertilization significantly increased nitrogen, phosphorus, potassium, calcium and magnesium flux 140%, on average, over non-fertilized. Irrigation significantly increased calcium flux 28% while there was no significant irrigation effect on nitrogen, phosphorus, potassium or magnesium. Maximum nutrient fluxes (kg ha(-1) day(-1)) for non-fertilized and fertilized stands were 0.36 and 1.05 for nitrogen, 0.042 and 0.095 for phosphorus, 0.13 and 0.51 for potassium, 0.27 and 0.42 for calcium, and 0.04 and 0.12 for magnesium, respectively. Maximum flux was coincident with ephemeral tissue (foliage and fine root) development and likely would be higher in stands with more foliage than those observed in this study (projected leaf area indices were 1.5 and 3.0 for the non-fertilized and fertilized stands). Minimum nutrient fluxes (kg ha(-1) day(-1)) for non-fertilized and fertilized stands were -0.18 and -0.42 for nitrogen, -0.029 and -0.070 for phosphorus, -0.05 and -0.18 for potassium, -0.04 and -0.05 for calcium, and -0.02 and -0.03 for magnesium, respectively. Minimum fluxes were typically observed in the dormant season and were linked to foliage senescence and branch death. Foliage and branch component nutrient contents were out of phase for nitrogen, phosphorus, potassium and magnesium, indicating nutrient retranslocation and storage in branches prior to foliage development and after foliage senescence. In contrast to current operational fertilizer programs which often target winter application these data suggest the best application times would be during foliage development.","Albaugh TJ, Allen HL, Stape JL, Fox TR, Rubilar RA, Price JW",Tree physiology,2012,,roots AND phenology AND fine roots AND growth
Dynamics of phreatophyte root growth relative to a seasonally fluctuating water table in a Mediterranean-type environment.,https://doi.org/10.1007/s00442-012-2381-1,"While seasonal redistribution of fine root biomass in response to fluctuations in groundwater level is often inferred in phreatophytic plants, few studies have observed the in situ growth dynamics of deep roots relative to those near the surface. We investigated the root growth dynamics of two Banksia species accessing a seasonally dynamic water table and hypothesized that root growth phenology varied with depth, i.e. root growth closest to the water table would be influenced by water table dynamics rather than surface micro-climate. Root in-growth bags were used to observe the dynamics of root growth at different soil depths and above-ground growth was also assessed to identify whole-plant growth phenology. Root growth at shallow depths was found to be in synchrony with above-ground growth phenophases, following increases in ambient temperature and soil water content. In contrast, root growth at depth was either constant or suppressed by saturation. Root growth above the water table and within the capillary fringe occurred in all seasons, corresponding with consistent water availability and aerobic conditions. However, at the water table, a seasonal cycle of root elongation with drawdown in summer followed by trimming in response to water table rise and saturation in winter, was observed. The ability to grow roots year-round at the capillary fringe and redistribute fine root biomass in response to groundwater drawdown is considered critical in allowing phreatophytes, in seasonally water-limited environments, to maintain access to groundwater throughout the year.","Canham CA, Froend RH, Stock WD, Davies M",Oecologia,2012,,roots AND phenology AND fine roots AND growth
Elevated CO2 and O3 effects on fine-root survivorship in ponderosa pine mesocosms.,https://doi.org/10.1007/s00442-009-1339-4,"Atmospheric carbon dioxide (CO(2)) and ozone (O(3)) concentrations are rising, which may have opposing effects on tree C balance and allocation to fine roots. More information is needed on interactive CO(2) and O(3) effects on roots, particularly fine-root life span, a critical demographic parameter and determinant of soil C and N pools and cycling rates. We conducted a study in which ponderosa pine (Pinus ponderosa) seedlings were exposed to two levels of CO(2) and O(3) in sun-lit controlled-environment mesocosms for 3 years. Minirhizotrons were used to monitor individual fine roots in three soil horizons every 28 days. Proportional hazards regression was used to analyze effects of CO(2), O(3), diameter, depth, and season of root initiation on fine-root survivorship. More fine roots were produced in the elevated CO(2) treatment than in ambient CO(2). Elevated CO(2), increasing root diameter, and increasing root depth all significantly increased fine-root survivorship and median life span. Life span was slightly, but not significantly, lower in elevated O(3), and increased O(3) did not reduce the effect of elevated CO(2). Median life spans varied from 140 to 448 days depending on the season of root initiation. These results indicate the potential for elevated CO(2) to increase the number of fine roots and their residence time in the soil, which is also affected by root diameter, root depth, and phenology.","Phillips DL, Johnson MG, Tingey DT, Storm MJ",Oecologia,2009,,roots AND phenology AND fine roots AND growth
Dry-season leaf flushing of Enterolobium cyclocarpum (ear-pod tree): above- and below-ground phenology and water relations.,https://doi.org/10.1093/treephys/27.11.1561,"Above- and belowground phenology and water relations of Enterolobium cyclocarpum Jacq. trees in the dry forest of Santa Rosa National Park, Costa Rica were studied during two consecutive phenological cycles, from November 1998 to June 2000. Aboveground phenological activity, including leaf shedding, growth and maturation of dormant fruits, new leaf flushing and flowering, occurred during the dry season. Measurements of leaf water potential, stomatal conductance and sap flow indicated that stomata of newly flushed leaves remained essentially closed until the onset of the first rains, suggesting that the main factor accounting for the favorable water balance of dry-season flushed leaves was their capacity to restrict water loss. Evidence of a contribution from stem and root water stores to shoot expansion was mixed because only the first dry-season flushing episode monitored was accompanied by a marked decrease in stem and root water potentials. Fine root production did not precede leaf flushing, occurred only after the onset of the rainy season and stopped under drought conditions, suggesting that soil water content was the most important variable controlling fine root dynamics in this species.","Rojas-Jiménez K, Holbrook NM, Gutiérrez-Soto MV",Tree physiology,2007,,roots AND phenology AND fine roots AND growth
Genetic and environmental control of seasonal carbohydrate dynamics in trees of diverse Pinus sylvestris populations.,https://doi.org/10.1093/treephys/20.12.837,"We explored environmental and genetic factors affecting seasonal dynamics of starch and soluble nonstructural carbohydrates in needle and twig cohorts and roots of Scots pine (Pinus sylvestris L.) trees of six populations originating between 49 degrees and 60 degrees N, and grown under common garden conditions in western Poland. Trees of each population were sampled once or twice per month over a 3-year period from age 15 to 17 years. Based on similarity in starch concentration patterns in needles, two distinct groups of populations were identified; one comprised northern populations from Sweden and Russia (59-60 degrees N), and another comprised central European populations from Latvia, Poland, Germany and France (49-56 degrees N). Needle starch concentrations of northern populations started to decline in late spring and reached minimum values earlier than those of central populations. For all populations, starch accumulation in spring started when minimum air temperature permanently exceeded 0 degrees C. Starch accumulation peaked before bud break and was highest in 1-year-old needles, averaging 9-13% of dry mass. Soluble carbohydrate concentrations were lowest in spring and summer and highest in autumn and winter. There were no differences among populations in seasonal pattern of soluble carbohydrate concentrations. Averaged across all populations, needle soluble carbohydrate concentrations increased from about 4% of needle dry mass in developing current-year needles, to about 9% in 1- and 2-year-old needles. Root carbohydrate concentration exhibited a bimodal pattern with peaks in spring and autumn. Northern populations had higher concentrations of fine-root starch in spring and autumn than central populations. Late-summer carbohydrate accumulation in roots started only after depletion of starch in needles and woody shoots. We conclude that Scots pine carbohydrate dynamics depend partially on inherited properties that are probably related to phenology of root and shoot growth.","Oleksyn J, Zytkowiak R, Karolewski P, Reich PB, Tjoelker MG",Tree physiology,2003,,roots AND phenology AND fine roots AND growth
Below-ground carbon input to soil is controlled by nutrient availability and fine root dynamics in loblolly pine.,https://doi.org/10.1046/j.1469-8137.2002.00393.x,"•  Availability of growth limiting resources may alter root dynamics in forest ecosystems, possibly affecting the land-atmosphere exchange of carbon. This was evaluated for a commercially important southern timber species by installing a factorial experiment of fertilization and irrigation treatments in an 8-yr-old loblolly pine (Pinus taeda) plantation. •  After 3 yr of growth, production and turnover of fine, coarse and mycorrhizal root length was observed using minirhizotrons, and compared with stem growth and foliage development. •  Fertilization increased net production of fine roots and mycorrhizal roots, but did not affect coarse roots. Fine roots had average lifespans of 166 d, coarse roots 294 d and mycorrhizal roots 507 d. Foliage growth rate peaked in late spring and declined over the remainder of the growing season, whereas fine roots experienced multiple growth flushes in the spring, summer and fall. •  We conclude that increased nutrient availability might increase carbon input to soils through enhanced fine root turnover. However, this will depend on the extent to which mycorrhizal root formation is affected, as these mycorrhizal roots have much longer average lifespans than fine and coarse roots.","King JS, Albaugh TJ, Allen HL, Buford M, Strain BR, Dougherty P",The New phytologist,2002,,roots AND phenology AND fine roots AND growth
Water stress responses of seedlings of four Mediterranean oak species.,https://doi.org/10.1093/treephys/20.16.1065,"Effects of water stress on phenology, growth, stomatal activity and water status were assessed from April to November 1996 in 2-year-old seedlings of Quercus frainetto Ten. (Quercus conferta Kit.), Quercus pubescens Willd., Quercus macrolepis Kotschy (Quercus aegilops auct.) and Quercus ilex L. growing in containers in northern Greece. All four species developed more than 50% of their total leaf area before the beginning of June--an adaptation to arid climates. Well-irrigated plants tended to develop greater individual leaf area, number of leaves per plant, total plant leaf area, height and root:shoot ratios than water-stressed plants, but the difference between treatments was not significant for any parameter in any species. Quercus macrolepis appeared to be the most drought-tolerant of the four species. It maintained the highest number of leaves of the smallest size and increased the proportion of fine roots during drought. In all species, drought caused significant decreases in stomatal conductance and predawn and midday water potentials from mid-July until the end of August, when the lowest soil water content and highest mean daily air temperatures and midday leaf temperatures occurred; however, the responses were species-specific. Among the four species, Quercus macrolepis sustained the highest stomatal conductance despite very low water potentials, thus overcoming drought by means of desiccation tolerance. Quercus ilex decreased stomatal conductance even before severe water stress occurred, thereby avoiding desication during drought. Quercus pubescens had the highest water potential despite a high stomatal conductance, indicating that its leaf water status was independent of stomatal activity. Quercus frainetto was the least drought-resistant of the four species. During drought it developed very low water potentials despite markedly reduced stomatal aperture.","Fotelli MN, Radoglou KM, Constantinidou HI",Tree physiology,2001,,roots AND phenology AND fine roots AND growth
The influence of below ground herbivory and plant competition on growth and biomass allocation of purple loosestrife.,https://doi.org/10.1007/s004420050356,"Experiments investigating plant-herbivore interactions have primarily focused on above-ground herbivory, with occasional studies evaluating the effect of below-ground herbivores on plant performance. This study investigated the growth of the wetland perennial Lythrum salicaria (purple loosestrife) under three levels of root herbivory by the weevil Hylobiustransversovittatus and three levels of plant competition by the grass Phleumpratense in a common garden. Plant growth, flowering phenology, and biomass allocation patterns of purple loosestrife were recorded for two growing seasons. During the first year, root herbivory reduced plant height; plant competition delayed flowering; and the interaction of root herbivory and plant competition resulted in reductions in plant height, shoot weight and total dry biomass. Plant competition or larval feeding did not affect the biomass allocation pattern in the first year. These results indicate the importance of interactions of plant competition and herbivory in reducing plant performance - at least during the establishment period of purple loosestrife. In the second growing season, root herbivory reduced plant height, biomass of all plant parts, delayed and shortened the flowering period, and changed the biomass allocation patterns. Plant competition delayed flowering and reduced the dry weight of fine roots. The interaction of root herbivory and plant competition delayed flowering. Root herbivory was more important than plant competition in reducing the performance of established purple loosestrife plants. This was due, in part, to intense intraspecific competition among the grass individuals effectively preventing shoot elongation of P. pratense and resulting in a carpet like growth.","Nötzold R, Blossey B, Newton E",Oecologia,1997,,roots AND phenology AND fine roots AND growth
Seasonal branch and fine root growth of juvenile loblolly pine five growing seasons after fertilization.,https://doi.org/10.1093/treephys/16.11-12.899,"In 1989, we established two replications of two fertilization treatments in a 10-year-old loblolly pine (Pinus taeda L.) plantation. Between March and September 1993, branch internode and needle fascicle expansion in the upper and lower third of crowns were measured weekly on three south-facing branches of each of four trees, and new root initiation and elongation were measured at 10-day intervals in three vertical rhizotrons per plot. In one replication, soil water content was measured daily. Fertilization significantly increased the expansion of first flush internodes in the upper crown and first flush needle fascicles in the upper and lower crown. New root growth was stimulated by fertilization in the second half of the growing season. The timing of root growth responses to fertilization corresponded to branch phenologies in the upper and lower crown that were conducive to increased basipetal transport of photosynthate. We conclude, therefore, that new root growth was linked to source-sink activities in the crown. Root initiation was greater in the upper than in the lower part of the soil profile; however, as the growing season progressed and water deficit increased, this relationship was reversed. The effect of soil depth on seasonal root growth was closely associated with water availability, suggesting that root initiation deep in the soil profile is critical for the continued production of new roots in environments subjected to short-term, but relatively severe, water deficits.","Sword MA, Gravatt DA, Faulkner PL, Chambers JL",Tree physiology,1996,,roots AND phenology AND fine roots AND growth
Root proliferation characteristics of seven perennial arid-land grasses in nutrient-enriched microsites.,https://doi.org/10.1007/BF00317089,"We compared root proliferation in fertilized microsites among seven cultivars of five commonly planted cool-desert perennial grass species that differ in productivity and competitive ability. In a greenhouse experiment on nutrient-limited plants, one soil microsite in each pot received distilled water (control) and a second microsite received a rich, complete nutrient solution (fertilized). Roots in and adjacent to the microsites were mapped on Mylar windows for 22 days after the injections to determine the magnitude and timing of response in root length relative growth rates (RGRs). Because we provided adequate water, used a high level of fertilization in the treatment microsites, and conducted the experiments during rapid vegetative growth, the results provide a measure of the relative capacities and maximal rates of the grasses responses to enriched microsites. Root samples were harvested from control and fertilized microsites at the end of the experiment to determine the morphological basis of the proliferation response. In all seven grasses fine roots proliferated in the fertilized microsites faster than in the control microsites. The grasses did not differ in the timing of their response which showed a peak 7-8 days after injection. Although one species, Pseudoroegneria spicata cv. Goldar, had higher maximum root length RGR and higher RGR ratio (RGR in fertilized to RGR in control microsites) 7-8 days after injection, the seven grasses did not differ significantly in the magnitude of root length RGR response to fertilizer integrated over the 22 day experiment. The grasses also did not differ significantly in root morphological changes in fertilized mocrosites. Compared to roots in control microsites, roots in fertilized microsites had greater specific root length, length of secondary roots per length of main axis, number of lateral and sublateral roots per length of main axis, and mean lateral root length. Root proliferation was mainly the result of increased lateral branching and lateral root growth in all seven grasses. The consistency of root proliferation responses among these seven cultivars suggests that differences in the capacity for, maximum rate, or morphological basis of root proliferation are not directly related to ecological characteristics such as productivity and competitive ability. Other aspects of root response to nutrient enrichment, such as differential responses as a function of microsite nutrient concentration, plant phenology, plant nutrient status, or specific nutrient element(s), may still be important, but further experiments are required to determine whether different responses to enriched soil microsites among species correspond with know species differences in ecological characteristics.","Larigauderie A, Richards JH",Oecologia,1994,,roots AND phenology AND fine roots AND growth
